Rk,Name,Pos,Age,Country,Agent/Trainer,Proj Team,Bonus,Ht,Wt,B,T,Athl,Frame,FV,Risk,Report,Video,playerId
"1","Jasson Dominguez","CF","16.4","Dominican Republic","Ivan Noboa","NYY",5100000,"5' 11""","194","S","R",2,-1,"50","Med","Hyper-sculpted, switch-hitting athlete who could fit at a number of defensive positions. Has plus tools across the board, including power from both sides of the plate. Has largely been seen in workouts and not against live, high-quality pitching, so we don't know much about his feel to hit but the elements are there. There's perhaps some Mamula Risk here, and Dominguez is physically mature, but we don't know of another 16-year-old on the planet with tools this loud and struggle to think of a historic example.","x6cbWcITk7Q",
"2","Robert Puason","SS","16.8","Dominican Republic","J.D. Ozuna","OAK",5100000,"6' 3""","185","S","R",2,2,"45","High","A physically projectable switch-hitter with infield actions, Puason is very similar to Mets SS Ronny Mauricio when the latter was an amateur, but Puason has shown better feel for airborne contact during workouts than Mauricio at the same age. He has a chance to have plus tools across the board, but there's some industry senitment that in-game aptitude might cause those tools to play down in games. Specifically, there's worry about his approach at the plate, which will be a more problematic if Puason outgrows shortstop.","P07YG46Wi30",
"3","Luis Rodriguez","CF","16.8","Venezuela","Angel Valladares","LAD",0,"6' 2""","175","R","R",1,1,"40+","Med","Depending on the look, some scouts think he can play center field, others think he'll get bigger and shift to right field, but everyone sees a hit tool and power projection.","",
"4","Erick Pena","RF","16.4","Dominican Republic","John Carmona","KCR",3800000,"6' 3""","180","L","R",1,1,"40+","High","A well-rounded outfielder with considerable physical projection, Peña has shown all-fields hitting ability in games. He has a chance to stay in center field but, if he doesn't, he'll likely have grown into sizeable power. Bonus is believed to be around $3.5 million.","fYcFn23SsMI",
"5","Bayron Lora","LF","16.8","Dominican Republic","Hector Evertz","TEX",4200000,"6' 4""","220","R","R",1,-1,"40+","High","Traditional corner OF projection bat with big present raw power and a somewhat mature build. There are some long-term questions about the build because Lora is so big for a prospect his age, but physical maturity also gives him a better chance of moving quickly. Has been compared as a player to Phillies prospect Jhailyn Ortiz, but Lora has a much better body composition. Bonus is believed to be $4 million.","OlExVHQzOzc",
"6","Ronnier Quintero","C","16.6","Venezuela","Jaime Ramos","CHC",0,"6' 0""","175","L","R",0,-2,"40","High","There's been a seven-figure Venezuelan catcher near the top of every international class dating back through 2016, and Quintero is this year's model. He's a little less polished on defense than most of his predecessors but has a plus arm and mature, strength-driven power. He has everyday offensive ability if he can remain lithe and mobile enough to catch. ","iXDTfB6Q7vc",
"7","Jhon Diaz","CF","16.8","Dominican Republic","German Rosario","TBR",1500000,"5' 11""","180","L","L",1,-1,"40","Med","Diaz has more present skill than he does physical projection, atypical for this market. There are teams who consider him a tweener bench outfield type, but we think he's just short, not small, and has a bunch of above-average tools and good baseball instincts.","e4kObJjybzc",
"8","Kevin Made","SS","16.8","Dominican Republic","Jaime Ramos","CHC",1500000,"6' 1""","160","R","R",0,1,"40","High","Made is a familiar type, the pure projection shortstop with actions and contact skills that you can dream on.","",
"9","Yiddi Cappe","SS","16.9","Cuba","Yolfri Sanchez","**MIA",0,"6' 3""","175","R","R",1,1,"40","High","There are differing opinions on Cappe, with some teams enthusiastic about the upside of the lanky, toolsy shortstop and others seeing a workout type with questions on game ability. He hit the market when much of the market had spent their pool money and he's rumored to have a $3.5 million deal with Miami to wait 12 months until July 2nd of 2020 when pool reset. Last year there was a player like this, eventual Yankees SS Alexander Vargas, who had a deal to wait over a year with the Reds until the Yankees got extra pool money to trump the standing offer. $3.5 million is seen as strong enough to likely keep Cappe waiting until 2020.","",
"10","Arol Vera","SS","16.8","Venezuela","Felix Olivo","LAA",0,"6' 2""","170","S","R",1,2,"40","High","A broad-shouldered shortstop with considerable physical projection. Swing has natural loft from both sides of the plate.","5rXyBVQAjmI",
"11","Reginald Preciado","SS","16.1","Panama","Cesar Suarez","SDP",1300000,"6' 4""","180","S","R",1,2,"40","High","Will be highest paid Panamanian amateur ever, with $1 million to Cubs C Miguel Amaya being the number to beat. 6-4, switch-hittimg shortstop with feel to hit even though he hasn't grown fully into his body. Young for the class and still raw at the plate, with some reports of trouble vs. velocity.","KwU4e2Gwrts",
"12","Ismael Mena","CF","16.6","Dominican Republic","Rudy Santin","SDP",2200000,"6' 3""","185","L","L",1,1,"40","Med","A plus runner likely to stay in CF has present gap power and a fair amount of physical projection. ","-QSDCz1v0_A",
"13","Luis Medina","RF","16.4","Venezuela","Alexi Quiroz","MIL",0,"6' 2""","168","L","L",0,0,"40","Med","Tweener with power projection and pretty swing that likely ends up in right field. Some see him as a more physically projectable version of Jhon Diaz.","",
"14","Maximo Acosta","SS","16.7","Venezuela","Roberto Vahlis","TEX",0,"5' 9""","145","R","R",1,-1,"40","Med","Compact body and swing, could be high-contact MIF with speed","Ewa6drN9XGs",
"15","Dauri Lorenzo","SS","16.7","Dominican Republic","Otro Nivel","HOU",1800000,"6' 1""","160","S","R",0,0,"40","Med","Bat-first, switch-hitting infielder whose arm strength may push him to second base.","3-AlAH2un18",
"16","Jose Pastrano","SS","16.8","Venezuela","Banana","CLE",0,"5' 11""","145","S","R",0,0,"40","Med","Switch-hitting infielder with medium build. Is more polish/feel to hit than tools/projection.","Ar6l1oJIg90",
"17","Adael Amador","2B","16.2","Dominican Republic","Cristian Pimentel","COL",1500000,"6' 0""","160","S","R",0,0,"40","Med","Smaller-framed middile infielder with plus defensive hands and actions. Could be contact/glove oriented regular if hit tool would can carry him there.","0B5NQkdVsCk",
"18","Yolbert Sanchez","SS","22.3","Cuba","Octagon","CHW",2500000,"6' 2""","190","R","R",0,0,"40","Low","Sanchez is an above-average runner, defender and thrower, but scouts aren't completely sold on him offensively, projecting him as a gap-to-gap hitter with modest power. Baltimore had the trump card to sign him earlier this year and wouldn't top the rumored $2 million price he was offered to wait for July 2nd, 2019.","sTiDFoIUQR4",
"19","Enmanuel Rodriguez","CF","16.3","Dominican Republic","Alberto Fana","MIN",2500000,"5' 10""","165","L","L",0,0,"40","Med","Smaller tweener type with good feel to hit and instincts.","-XltguAldkY",
"20","Cristopher Cruz","RHP","16.5","Dominican Republic","Jose Garcia","PIT",850000,"6' 2""","170","R","R",1,1,"35+","High","Athletic, semi-projectable righty with clean delivery and precocious breaking ball feel.","JVjUp412gBU",
"21","Kristian Cardozo","RHP","16.6","Venezuela","Hector Evertz","SEA",0,"6' 1""","175","R","R",0,0,"35+","High","Clean arm and delivery with projection from those more than huge physical projection; average-ish three pitch mix at times.","",
"22","Po-Yu Chen","RHP","17.8","Taiwan","Pei-Ke High School","",0,"6' 2""","198","L","R",0,0,"35+","Med","Sits 90-92, above average changeup, solid average curveball at times, starter traits. Doesn't have a deal, but multiple teams have seven figures of uncommitted pool money and some teams think he'll get $1 million or more. There's two other Taiwanese prospects with a consensus value in the mid-six-figures that are also 18-year-old high school seniors (RHP Lee, SS Ping), but Chen is regarded as the best of the bunch.","Yowi42AX3cc",
"23","Brayan Medina","RHP","16.7","Venezuela","Yasser Mendez","SDP",0,"6' 2""","180","R","R",0,0,"35+","High","Velo and prospect status came on late to put Medina in the top group of pitchers in the class. He's been into the mid-90's and has some projection, but the offspeed stuff and feel is a bit behind the other arms in the top tier.","YuYJf0WtTmQ",
"24","Andry Lara","RHP","16.5","Venezuela","Cesar Suarez","WSN",0,"6' 3""","210","R","R",0,-1,"35+","High","Lara is a bigger, mature-framed pitcher with now velocity into the mid-90's and an aggressive mound demeanor.","",
"25","Luis Gutierrez","LHP","15.9","Venezuela","Cesar Suarez","SDP",0,"5' 11""","170","L","L",1,2,"35+","High","Raw lefty has some projection, flashes above average traits, mostly works in the upper-80's, toward the back of this top tier of pitching.","",
"26","Esmerlin Vinicio","LHP","16.4","Dominican Republic","Alfredo Arias","SFG",750000,"6' 0""","165","L","L",0,0,"35+","High","Athletic lefty has clean arm, some physical projection and flashes some now stuff.","",
"27","Zayed Salinas","LHP/OF","16.5","Mexico","Tijuana Toros","SDP",800000,"6' 1""","175","L","L",1,1,"35+","High","Could be athletic, projectable pitching prospect or contact-oriented CF.","",
"28","Malfrin Sosa","LF","16.0","Dominican Republic","William Valdez","MIN",900000,"6' 2""","195","R","R",0,-1,"35+","High","Raw, power projection corner outfielder that has just okay feel to hit currently but it also young for the class.","Ly5fKZ-8h-A",
"29","Alexander Ramirez","CF","16.5","Dominican Republic","Niche","NYM",2050000,"6' 3""","175","R","R",0,1,"35+","High","A classic, big-framed, power projection outfielder who currently runs well enough to try center field, but there's questions on the hitability.","8u-cBOEpR_M",
"30","Jose Salas","SS","16.2","Venezuela","Jose Salas","MIA",0,"6' 1""","150","S","R",0,1,"35+","High","Natural defender with below average footspeed, arm may limit to second base, some projection with limited now strength but solid contact-oriented switch hitter.","",
"31","Yeiner Fernandez","C","16.8","Venezuela","Alexi Quiroz","LAD",0,"5' 10""","175","R","R",0,0,"35","Med","One of the first deals in the class, Fernandez hasn't been scouted much as a result. He doesn't have much physical projection but has advanced feel for contact and can probably still behind the plate.","",
"32","Jiter Heredia","3B","16.4","Dominican Republic","Mejia","ARI",325000,"5' 11""","180","R","R",0,0,"35","High","Strong-bodied infielder with present power.","rmjRIt5PuSw",
"33","Michel Triana","1B","19.5","Cuba","Carlos Paulino","CIN",1300000,"6' 2""","225","L","R",0,0,"35","High","Big lefty-hitting 19-year-old Cuban has a reported $1.3 million deal with Cincinnati and he'll likely end up at first base, so the headlining hit/power tools will have to play quickly.","",
"34","Rikelvin de Castro","SS","16.4","Dominican Republic","Angel Perez","TOR",1200000,"5' 11""","150","R","R",0,0,"35","Med","Gritty, defensive oriented player with contact skills but doesn't have flashy tools many like to see at the top of the market.","ZHN0dArLcbY",
"35","Enger Castellanos","3B","16.6","Dominican Republic","Angelo LeClerc","NYY",340000,"6' 0""","190","R","R",0,0,"35","High","Prototypical third baseman on whom scouts agree on above average power potential, bat speed and arm strength, but disagree about the projection of the hit tool.","N8L-tKg6c_w",
"36","Jose Pena","RF","16.5","Dominican Republic","Jay Alou","TBR",750000,"6' 2""","170","R","R",0,0,"35","High","Power-hitting corner outfielder with loose swing and hard game contact. Deal is rumored to be $700,000.","xv6o4Zg1wQo",
"37","Adrian Placencia","SS","16.1","Dominican Republic","Chapita","LAA",1100000,"5' 11""","170","S","R",0,0,"35","Med","Another feel-to-hit and feel-for-the-game middle infielder that has fringy-to-average tools.","KTIC2BjbK7g",
"38","Aeverson Arteaga","SS","16.3","Venezuela","Luis Blasini","SFG",0,"5' 11""","145","R","R",0,0,"35","Med","Smaller shortstop that can pick it and hits a little, too.","",
"39","Jose Bonilla","SS","17.3","Dominican Republic","Nolan Pena","LAA",600000,"6' 0""","185","R","R",0,0,"35","Med","Mature-framed middle infielder is offensive-oriented and was in last year's July 2nd class, but couldn't find the right deal last summer.","",
"40","Junior Sanchez","SS","16.5","Dominican Republic","Freddy Espinal","MIA",1150000,"6' 0""","160","L","R",0,0,"35","High","Sanchez has good hands at the plate and in the field but may be a second baseman with fringe-to-average speed and power.","PJJTSoY4D2o",