pl_rk,name,pos,school
1,Adley Rutschman,C,Oregon State
2,Bobby Witt Jr.,SS,Colleyville Heritage HS (TX)
3,Riley Greene,OF,Hagerty HS (FL)
4,Andrew Vaughn,1B,California
5,Josh Jung,3B,Texas Tech
6,Graeme Stinson,LHP,Duke
7,Daniel Espino,RHP,Georgia Premier Academy (GA)
8,Shea Langliers,C,Baylor
9,Corbin Carroll,OF,Lakeside HS (WA)
10,Brennan Malone,RHP,IMG Academy (FL)
11,C.J. Abrams,SS,Blessed Trinity Catholic HS (GA)
12,Spencer Jones,LHP,La Costa Canyon HS
13,Tyler Callihan,3B,Providence School of Jacksonville (FL)
14,Michael Busch,1B,North Carolina
15,Tyler Dyson,RHP,Florida
16,Zack Thompson,LHP,Kentucky
17,Carter Stewart,RHP,Eastern Florida State JC
18,Bryson Stott,SS,UNLV
19,Kameron Misner,OF,Missouri
20,Jack Leiter,RHP,Delbarton School (NJ)
21,Jerrion Ealy,OF,Jackson Preparatory School
22,Will Holland,SS,Auburn
23,Matthew Allan,RHP,Seminole HS (FL)
24,Greg Jones,SS,UNCW
25,Rece Hinds,3B,IMG Academy (FL)
26,J.J. Bleday,OF,Vanderbilt
27,Nick Lodolo,LHP,Texas Christian
28,Alek Manoah,RHP,West Virginia
29,Braden Shewmake,SS,Texas A&M
30,Matt Wallner,OF,Southern Mississippi
31,George Kirby,RHP,Elon
32,Matthew Thompson,RHP,Cypress Ranch HS (TX)
33,Derek Diamond,RHP,Ramona HS (CA)
34,Kyle Stowers,OF,Stanford
35,Michael Toglia,1B/OF,California UCLA
36,Sammy Siani,OF,William Penn Charter School (PA)
37,Austin Shenton,3B,Florida International
38,Will Wilson,SS,North Carolina State
39,Logan Wyatt,1B,Louisville
40,Erik Miller,LHP,Stanford
41,Drew Mendoza,3B,Florida State
42,Chase Strumpf,2B,UCLA
43,Matthew Lugo,SS,Carlos Beltran Baseball Academy (P.R.)
44,Hunter Barco,LHP,The Bolles School (FL)
45,Nasim Nunez,SS,Collins Hill HS (GA)
46,Hayden Dunhurst,C,Pearl River Central HS (MS)
47,Logan Davidson,SS,Clemson
48,J.J. Goss,RHP,Cypress Ranch HS (TX)
49,Riley Cornelio,RHP,Pine Creek HS (CO)
50,Anthony Volpe,MIF,Delbarton School (NJ)