name,pos,tm,lvl,age,birthdate,fg_id,avg_fv,fg_board,fg_team,fg_int,2080_team,mlb_pos,mlb_int,mlb_100,ba_int,ba_100_draft,ba_100,ba_team
Brayan Rocchio,SS,CLE,aa,18,2001-01-13,sa3005898,,,,,,,,,,,,
Vidal Brujan,SS,TBY,aa,21,1998-02-09,sa872786,,,,,,,,,,,,
Nico Hoerner,SS,CHC,aa,21,1997-05-13,sa3007867,,,,,,,,,,,,
Kevin Smith,SS,TOR,aa,22,1996-07-04,sa915864,,,,,,,,,,,,
Geraldo Perdomo,SS,ARI,aa,19,1999-10-22,sa3003290,,,,,,,,,,,,
Xavier Edwards,SS,SDP,aa,,,,,,,,,,,,,,,
Robert Puason,SS,,aa,,,,,,,,,,,,,,,
Jasson Dominguez,SS,,aa,,,,,,,,,,,,,,,
Peter Lambert,SP,COL,aa,21,1997-04-18,sa874771,,,,,,,,,,,,
Tony Santillan,SP,CIN,aa,21,1997-04-15,sa874781,,,,,,,,,,,,
Nick Neidert,SP,MIA,aa,22,1996-11-20,sa874797,,,,,,,,,,,,
Deivi Garcia,SP,NYY,aa,19,1999-05-19,sa916944,,,,,,,,,,,,
Brock Burke,SP,TEX,aa,22,1996-08-04,sa828798,,,,,,,,,,,,
Daniel Lynch,SP,KCA,aa,22,1996-11-17,sa3007588,,,,,,,,,,,,
Corbin Martin,SP,HOU,aa,23,1995-12-28,sa915704,,,,,,,,,,,,
Chris Paddack,SP,SDP,aa,23,1996-01-08,sa875195,,,,,,,,,,,,
Merrill Kelly,SP,KBO,aa,30,1988-10-14,sa552177,,,,,,,,,,,,
Takahiro Norimoto,SP,JPN,aa,28,1990-12-17,,,,,,,,,,,,,
Mariel Bautista,RF,CIN,aa,21,1997-10-15,sa872535,,,,,,,,,,,,
Jordyn Adams,RF,LAA,aa,,,,,,,,,,,,,,,
Jhon Torres,LF,STL,aa,18,2000-03-29,sa3003233,,,,,,,,,,,,
Kristian Robinson,CF,ARI,aa,18,2000-12-11,sa3006884,,,,,,,,,,,,
George Valera,CF,CLE,aa,18,2000-11-13,sa3006872,,,,,,,,,,,,
Drew Waters,CF,ATL,aa,20,1998-12-30,sa3004378,,,,,,,,,,,,
Ryan McKenna,CF,BAL,aa,21,1997-02-14,sa875055,,,,,,,,,,,,
Alek Thomas,CF,ARI,aa,18,2000-04-28,sa3006892,,,,,,,,,,,,
Luis Alexander Basabe,CF,CHA,aa,22,1996-06-26,sa736915,,,,,,,,,,,,
Alexander Canario,CF,SFG,aa,18,2000-05-07,,,,,,,,,,,,,
Cole Roederer,CF,CHC,aa,,,,,,,,,,,,,,,
Andy Yerzy,C,ARI,aa,20,1998-07-05,sa917939,,,,,,,,,,,,
Miguel Amaya,C,CHC,aa,19,1999-03-09,sa917354,,,,,,,,,,,,
Sicnarf Loopstock,C,CLE,aa,,,,,,,,,,,,,,,
Sherten Apostel,3B,TEX,aa,19,1999-03-11,sa917364,,,,,,,,,,,,
Oneil Cruz,3B,PIT,aa,20,1998-10-04,sa917318,,,,,,,,,,,,
Elehuris Montero,3B,STL,aa,20,1998-08-17,sa872477,,,,,,,,,,,,
Shervyen Newton,3B,NYM,aa,19,1999-04-24,sa917119,,,,,,,,,,,,
Nicky Lopez,2B,KCA,aa,23,1995-03-13,sa918022,,,,,,,,,,,,
Daniel Brito,2B,PHI,aa,21,1998-01-23,sa872732,,,,,,,,,,,,
Andy Young,2B,ARI,aa,24,1994-05-10,sa919031,,,,,,,,,,,,
Nate Lowe,1B,TBY,aa,23,1995-07-07,sa918283,,,,,,,,,,,,
Tyler Nevin,1B,COL,aa,21,1997-05-29,sa874752,,,,,,,,,,,,
Ryan Noda,1B,TOR,aa,22,1996-03-30,sa873960,,,,,,,,,,,,
Cedric Mullins,CF,BAL,op,,,,,,,,,,,,,,,
Brandon Lowe,IF/OF,TBY,op,,,,,,,,,,,,,,,
Ryan O'Hearn,1B,KCR,op,,,,,,,,,,,,,,,
Spencer Howard,SP,PHI,aa,,,,,,,,,,,,,,,
Jorge Suarez,SP,ANA,aa,,,,,,,,,,,,,,,
D'Shawn Knowles,OF,ANA,aa,,,,,,,,,,,,,,,
Tirso Ornelas,OF,SDP,aa,,,,,,,,,,,,,,,
Joe Palumbo,SP,TEX,aa,,,,,,,,,,,,,,,
Jordan Yamomoto,SP,MIA,aa,,,,,,,,,,,,,,,