level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,IF-OF,2,1,1,,0,0,6,0,0,0,6,0,2,.233,0.0,0.0,0.0,0,.291,.606,-0.3,1,.315,0.0,Mike Freeman,Cubs,.268,65,11241
B,C,5,4,1,,1,0,17,1,0,0,18,0,4,.224,0.0,0.3,0.0,0,.265,.567,-1.0,1,.302,0.0,Rocky Gale,Dodgers,.250,57,10533
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.204,0.0,0.0,0.0,0,.274,.622,0.0,0,.348,0.0,Dustin Garneau,White Sox,.273,71,9433
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.231,0.0,0.0,0.0,0,.292,.614,0.0,0,.322,0.0,Craig Gentry,,.272,68,9571
B,OF,15,12,6,,2,0,54,4,0,2,59,1,18,.222,0.0,-0.3,-0.1,0,.278,.644,-1.8,6,.366,0.0,Mike Gerber,Tigers,.280,74,16115
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.264,0.0,0.0,0.0,0,.286,.657,0.0,0,.371,0.0,Miguel Gomez,Giants,.284,78,17075
V,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.258,0.0,0.0,0.0,0,.323,.737,0.0,0,.415,0.0,Adrian Gonzalez,,.317,98,1908
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.215,0.0,0.0,0.0,0,.282,.581,0.0,0,.299,0.0,Alfredo Gonzalez,White Sox,.260,62,14267
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.205,0.0,0.0,0.0,0,.269,.545,-0.1,0,.276,0.0,Terrance Gore,Cubs,.245,50,13658
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.243,0.0,0.0,0.0,0,.297,.640,0.0,0,.343,0.0,Phil Gosselin,,.281,74,10953
B,C,3,3,1,,1,0,11,0,0,0,12,0,2,.248,0.0,0.3,0.0,0,.283,.618,-0.5,1,.336,0.0,Juan Graterol,Reds,.271,65,5398
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.244,0.0,0.0,0.0,0,.285,.678,0.0,0,.393,0.0,Gabriel Guerrero,Reds,.292,79,14528
B,IF-OF,40,35,13,,6,0,140,13,1,1,157,1,21,.252,0.1,-1.8,-0.9,1,.319,.650,-2.7,13,.331,0.0,Luis Guillorme,Mets,.290,85,16451
B,C,8,6,3,,1,0,27,2,0,1,30,0,10,.203,0.0,0.5,-0.1,0,.261,.629,-1.2,3,.369,0.0,Eric Haase,Indians,.273,65,14111
A,C,0,0,0,,0,0,1,0,0,0,1,0,0,.231,0.0,0.0,0.0,0,.283,.630,0.0,0,.347,0.0,Bryan Holaday,Marlins,.274,74,11287
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.211,0.0,0.0,0.0,0,.279,.599,0.0,0,.320,0.0,Joe Hudson,Angels,.265,67,14412
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.202,0.0,0.0,0.0,0,.287,.584,0.0,0,.297,0.0,Sherman Johnson,Angels,.263,66,13906
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.223,0.0,0.0,0.0,0,.293,.606,0.0,0,.314,0.0,Kevin Kaczmarski,Mets,.270,72,18146
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.220,0.0,0.0,0.0,0,.294,.614,0.0,0,.320,0.0,Ty Kelly,,.274,69,7740
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.227,0.0,0.0,0.0,0,.285,.671,0.0,0,.386,0.0,Patrick Kivlehan,,.290,80,13910
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.210,0.0,0.0,0.0,0,.260,.555,-0.1,0,.294,0.0,Pete Kozma,,.246,50,2539
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.226,0.0,0.0,0.0,0,.286,.621,0.0,0,.334,0.0,Ryan LaMarre,White Sox,.274,71,10700
B,OF,8,7,3,,1,0,29,2,0,0,32,1,6,.238,0.0,-0.4,0.0,0,.301,.611,-1.1,2,.310,0.0,Braxton Lee,Marlins,.272,72,16839
B,IF,3,3,1,,1,0,12,1,0,0,13,0,3,.253,0.0,0.1,0.0,0,.311,.677,-0.3,1,.366,0.0,Tzu-Wei Lin,Red Sox,.296,81,14678
B,OF,5,4,2,,1,0,18,1,0,0,20,1,3,.243,0.0,0.1,0.0,1,.301,.641,-0.5,2,.340,0.0,Tim Locastro,Dodgers,.284,79,15124
B,C,44,34,16,,6,0,158,15,0,5,177,1,54,.212,0.0,1.9,-0.4,1,.282,.624,-7.5,17,.343,0.0,Raffy Lopez,Braves,.271,66,12606
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.207,0.0,0.0,0.0,0,.259,.565,-0.1,0,.306,0.0,Deven Marrero,Diamondbacks,.250,51,13325
V,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.259,0.0,0.0,0.0,0,.314,.701,0.0,0,.387,0.0,Victor Martinez,,.303,89,393
A,C,15,12,5,,2,0,54,3,0,1,59,0,17,.218,-0.1,1.3,0.1,0,.269,.603,-2.7,6,.334,0.0,Adam Moore,,.264,63,9362
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.220,0.0,0.0,0.0,0,.288,.647,0.0,0,.359,0.0,Taylor Motter,,.283,76,12399
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.243,0.0,0.0,0.0,0,.312,.656,0.0,0,.344,0.0,Efren Navarro,,.288,79,9854
B,IF-OF,3,2,1,,0,0,11,1,0,0,13,0,5,.178,0.0,0.0,0.0,0,.253,.528,-0.8,1,.275,0.0,Gift Ngoepe,Blue Jays,.238,45,10340
B,C,8,6,2,,1,0,28,1,0,1,30,0,6,.231,0.0,0.5,-0.1,0,.271,.620,-1.0,3,.349,0.0,Tomas Nido,Mets,.270,72,13755
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.233,0.0,0.0,0.0,0,.310,.636,0.0,0,.327,0.0,Nate Orf,Brewers,.283,73,15407
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.258,0.0,0.0,0.0,0,.321,.682,0.0,0,.361,0.0,Rafael Ortega,,.300,87,10323
V,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.215,0.0,0.0,0.0,0,.289,.586,-0.1,0,.297,0.0,Cliff Pennington,Rangers,.263,55,3395
A,IF,16,13,6,,3,0,56,8,1,1,65,2,14,.230,0.0,-0.6,-0.8,1,.324,.663,-1.2,5,.339,0.0,Jace Peterson,,.296,84,12325
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.242,0.0,0.0,0.0,0,.283,.616,0.0,0,.333,0.0,Gregorio Petit,,.270,67,3812
V,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.218,0.0,0.0,0.0,0,.294,.673,0.0,0,.378,0.0,Trevor Plouffe,,.294,83,7462
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.242,0.0,0.0,0.0,0,.317,.666,0.0,0,.349,0.0,Rob Refsnyder,Rays,.294,87,13770
B,IF-OF,11,9,4,,2,0,41,3,0,0,45,1,10,.222,0.0,0.3,0.0,0,.282,.581,-1.9,3,.299,0.0,Jack Reinheimer,Mets,.259,64,14938
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.264,0.0,0.0,0.0,0,.311,.668,0.0,0,.357,0.0,Tony Renda,Red Sox,.293,78,13443
B,IF-OF,37,36,14,,6,1,138,6,2,2,146,4,26,.259,0.2,-0.3,-0.1,1,.292,.651,-4.1,14,.359,0.0,Victor Reyes,Tigers,.283,76,15487
B,IF-OF,3,3,1,,1,0,11,1,0,0,13,0,3,.245,0.0,0.0,-0.1,0,.310,.658,-0.3,1,.348,0.0,Matt Reynolds,Nationals,.290,78,13788
B,OF,16,12,7,,2,0,55,7,1,2,63,1,22,.213,0.0,-0.5,-0.2,0,.301,.673,-1.6,7,.371,0.0,Drew Robinson,Rangers,.296,77,11761
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.247,0.0,0.0,0.0,0,.297,.637,0.0,0,.340,0.0,Shane Robinson,,.280,73,4249
V,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.202,0.0,0.0,0.0,0,.284,.643,0.0,0,.359,0.0,Sean Rodriguez,,.281,74,6589
A,IF-OF,16,13,6,,3,0,58,4,0,2,64,1,18,.222,0.0,0.1,-0.2,1,.280,.649,-2.0,7,.369,0.0,Adam Rosales,,.282,74,9682
V,C,15,9,5,,2,0,52,6,0,1,59,0,22,.177,0.0,0.8,-0.4,0,.268,.572,-3.1,5,.305,0.0,Jarrod Saltalamacchia,,.257,58,5557
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.251,0.0,0.0,0.0,0,.310,.666,0.0,0,.357,0.0,J.B. Shuck,,.292,81,6677
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.249,0.0,0.0,0.0,0,.308,.683,0.0,0,.374,0.0,Moises Sierra,,.299,86,6050
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.206,0.0,0.0,0.0,0,.292,.655,0.0,0,.363,0.0,Matt Skole,White Sox,.288,81,12119
B,OF,13,12,6,,3,0,47,5,0,1,52,1,10,.248,0.0,-1.0,-0.4,0,.319,.703,-0.4,5,.385,0.0,Dwight Smith Jr.,Blue Jays,.308,93,13473
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.230,0.0,0.0,0.0,0,.296,.677,0.0,0,.381,0.0,Jake Smolinski,,.295,84,5408
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.222,0.0,0.0,0.0,0,.288,.672,0.0,0,.384,0.0,Brandon Snyder,,.292,81,9856
B,OF,2,1,1,,0,0,6,1,0,0,7,0,1,.252,0.0,-0.1,0.0,0,.328,.665,-0.1,1,.337,0.0,Myles Straw,Astros,.296,89,17620
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.215,0.0,0.0,0.0,0,.281,.616,0.0,0,.335,0.0,Darnell Sweeney,,.271,67,13284
B,OF,26,25,11,,5,1,92,9,1,2,103,3,20,.267,0.0,-1.7,-0.3,1,.331,.733,-2.0,11,.402,0.0,Mike Tauchman,Rockies,.319,83,15274
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.256,0.0,0.0,0.0,0,.303,.656,0.0,0,.353,0.0,Tomas Telis,Marlins,.284,81,10067
B,IF,5,5,2,,1,0,18,2,0,1,20,0,4,.255,0.0,-0.4,0.0,0,.316,.744,0.1,2,.428,0.0,Rowdy Tellez,Blue Jays,.320,101,15679
B,OF,15,13,6,,2,0,53,3,0,1,57,1,12,.247,0.1,0.2,-0.1,1,.296,.632,-2.3,5,.336,0.0,Carlos Tocci,Rangers,.278,65,14558
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.246,0.0,0.0,0.0,0,.309,.619,0.0,0,.309,0.0,Kelby Tomlinson,Giants,.276,73,13005
B,IF-OF,3,3,1,,1,0,12,1,0,0,13,0,3,.225,0.0,0.1,0.0,0,.289,.585,-0.7,1,.297,0.0,Blake Trahan,Reds,.261,58,17588
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.248,0.0,0.0,0.0,0,.289,.665,0.0,0,.376,0.0,Giovanny Urshela,Yankees,.288,79,10681
B,IF-OF,6,6,2,,1,0,24,1,0,0,26,0,3,.266,0.0,0.0,-0.2,0,.306,.680,-0.6,3,.374,0.0,Ildemaro Vargas,Diamondbacks,.296,82,13324
B,IF-OF,3,3,1,,0,0,12,1,0,0,13,0,4,.224,0.0,0.0,-0.1,0,.275,.615,-0.5,1,.339,0.0,Andrew Velazquez,Rays,.269,69,14196
B,C,3,3,1,,1,0,11,1,0,0,12,0,3,.244,0.0,0.3,0.0,0,.294,.653,-0.3,1,.360,0.0,Meibrys Viloria,Royals,.286,77,17109
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.235,0.0,0.0,0.0,0,.287,.608,0.0,0,.321,0.0,Zach Vincej,,.269,66,13269
B,IF,13,9,5,,2,0,45,6,0,2,52,0,19,.202,0.0,-0.4,0.0,1,.294,.655,-1.3,5,.361,0.0,Mitch Walding,Phillies,.289,80,13006
B,IF-OF,31,26,11,,5,0,111,8,1,2,122,2,30,.234,0.0,0.2,-0.3,1,.290,.621,-4.4,10,.331,0.0,Steve Wilkerson,Orioles,.274,70,16041
A,C,30,21,10,,4,0,104,8,0,2,114,1,30,.206,-0.3,2.5,0.0,1,.263,.582,-6.1,11,.318,0.0,Bobby Wilson,,.256,57,6564
B,OF,6,5,3,,1,0,22,3,0,1,25,0,7,.225,0.0,-0.3,0.0,0,.328,.678,-0.4,2,.350,0.0,Mark Zagunis,Cubs,.303,88,16565
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.228,0.0,0.0,0.0,0,.289,.629,0.0,0,.341,0.0,Chase d'Arnaud,,.276,71,6652
V,IF,138,100,63,,17,1,496,62,1,26,571,2,204,.202,-0.2,-11.8,0.0,6,.297,.694,-8.1,69,.397,-0.1,Chris Davis,Orioles,.302,88,9272
B,IF-OF,17,14,6,,3,0,59,4,0,1,65,1,13,.229,0.0,-0.8,-0.2,1,.284,.629,-1.9,6,.346,-0.1,Phillip Evans,Mets,.276,76,12950
V,OF,49,42,22,,9,0,178,21,0,6,203,1,51,.236,-0.9,-5.9,-3.5,2,.321,.718,-1.9,23,.397,-0.1,Matt Holliday,,.314,96,1873
B,OF,16,14,6,,2,0,58,4,1,1,64,2,15,.246,0.1,-0.7,0.2,0,.301,.641,-2.0,6,.340,-0.1,Andrew Stevenson,Nationals,.283,73,17932
A,C,49,41,21,,9,1,176,16,1,4,195,3,50,.235,0.3,-1.6,-0.2,1,.299,.653,-5.7,20,.353,-0.1,Blake Swihart,Red Sox,.287,74,13176
B,IF-OF,21,19,8,,4,0,79,4,1,1,84,2,14,.243,0.0,0.0,-0.8,0,.283,.616,-3.4,7,.334,-0.1,Ramon Torres,Royals,.270,66,14113
B,IF-OF,10,8,3,,1,0,36,2,0,0,39,1,8,.223,0.0,0.1,-0.1,0,.275,.562,-2.2,3,.287,-0.1,Engelb Vielma,Orioles,.251,54,15481
B,IF,23,18,9,,4,0,82,7,0,3,91,1,29,.218,0.1,-1.3,0.0,1,.281,.658,-2.2,10,.377,-0.1,Patrick Wisdom,Cardinals,.286,79,13602
V,OF,49,38,20,,8,1,172,17,1,6,194,2,49,.223,0.0,-4.8,-2.4,2,.300,.695,-2.7,22,.394,-0.1,Chris Young,,.303,89,3882
A,OF,40,33,15,,6,1,143,11,2,2,159,5,36,.231,0.4,-1.2,-1.9,2,.292,.626,-5.2,14,.334,-0.1,Eric Young Jr.,,.277,71,7158
B,IF-OF,28,24,11,,5,0,103,7,1,3,112,2,35,.229,0.1,-1.7,0.1,1,.279,.663,-3.3,12,.384,-0.2,Brandon Dixon,Reds,.287,75,15214
A,IF-OF,34,26,13,,5,1,127,9,1,3,140,2,43,.206,0.0,-0.2,-1.0,2,.265,.581,-6.2,12,.316,-0.2,Kristopher Negron,Mariners,.257,63,5306
B,OF,51,42,18,,8,1,186,12,3,4,203,7,54,.225,0.3,-2.1,0.6,2,.276,.618,-6.8,18,.342,-0.3,Isaac Galloway,Marlins,.271,71,5238
B,OF,83,83,34,,14,3,304,16,2,6,327,6,62,.275,0.1,-5.1,-0.4,3,.315,.720,-8.7,36,.405,-0.4,Noel Cuevas,Rockies,.310,78,11894
B,IF-OF,25,18,7,,3,0,90,7,1,1,99,1,29,.200,0.0,-1.0,-0.3,1,.260,.539,-6.1,7,.280,-0.4,Yadiel Rivera,Marlins,.237,49,11863
A,IF-OF,50,41,21,,7,1,180,14,1,6,199,4,64,.225,0.2,-4.1,0.2,2,.285,.657,-6.7,21,.372,-0.4,Ryan Rua,Rangers,.286,71,12409
B,IF-OF,49,45,17,,9,1,183,9,2,2,196,4,36,.247,0.3,-1.9,-0.6,2,.285,.627,-7.9,18,.342,-0.4,Adrian Sanchez,Nationals,.273,66,11338
A,IF-OF,93,80,34,,16,2,338,22,2,8,368,5,88,.236,0.4,-5.2,-1.5,3,.286,.647,-13.0,36,.361,-0.7,Charlie Culberson,Braves,.278,70,3298
B,IF-OF,105,76,42,,16,1,390,34,1,18,432,1,155,.196,-0.1,-7.9,0.6,3,.264,.643,-12.8,49,.379,-0.7,Peter O'Brien,Marlins,.277,76,13288
